Region,Hotels,Hotels,Furnished Residential Units,Furnished Residential Units
City,Occupancy - %,Average Price - SR,Occupancy - %,av_price2
Riyadh,69.1,384.9,69.2,330.3
Makkah,86.9,367.6,83.1,287.2
Eastern Province,67.2,363,64.7,321.7
Madinah,83.6,352.3,81.2,282.7
Al Baha,54.5,342.6,55.7,224.5
Jazan,58,335.9,56.1,245.2
Al-Jouf,54.5,334.2,54.7,240
Najran,58.1,332.5,51.3,215.8
Asir,58.6,326.7,53.5,231.5
Hail,57.9,324.1,51.5,230.8
Tabuk,53.8,318.9,54.2,228.8
Northern Borders,53,318.5,47.7,241.7
Qassim,58.5,317.7,60.2,310.3
